Customer_Name,Last_Rental_Date
"BRANDON HUEY","2006-02-14 15:16:03"
"FRED WHEAT","2006-02-14 15:16:03"
"LOUIS LEONE","2006-02-14 15:16:03"
"JEREMY HURTADO","2006-02-14 15:16:03"
"CRAIG MORRELL","2006-02-14 15:16:03"
"CHRIS BROTHERS","2006-02-14 15:16:03"
"LEONARD SCHOFIELD","2006-02-14 15:16:03"
"CURTIS IRBY","2006-02-14 15:16:03"
"NORMAN CURRIER","2006-02-14 15:16:03"
"ALLEN BUTTERFIELD","2006-02-14 15:16:03"
"TRAVIS ESTEP","2006-02-14 15:16:03"
"LEE HAWKS","2006-02-14 15:16:03"
"MELVIN ELLINGTON","2006-02-14 15:16:03"
"KYLE SPURLOCK","2006-02-14 15:16:03"
"JOEL FRANCISCO","2006-02-14 15:16:03"
"BARRY LOVELACE","2006-02-14 15:16:03"
"BERNARD COLBY","2006-02-14 15:16:03"
"MARIO CHEATHAM","2006-02-14 15:16:03"
"MIGUEL BETANCOURT","2006-02-14 15:16:03"
"JAY ROBB","2006-02-14 15:16:03"
"TOM MILNER","2006-02-14 15:16:03"
"BILL GAVIN","2006-02-14 15:16:03"
"GREG ROBINS","2006-02-14 15:16:03"
"DUSTIN GILLETTE","2006-02-14 15:16:03"
"DERRICK BOURQUE","2006-02-14 15:16:03"
"ZACHARY HITE","2006-02-14 15:16:03"
"BRENT HARKINS","2006-02-14 15:16:03"
"CHARLIE BESS","2006-02-14 15:16:03"
"TYLER WREN","2006-02-14 15:16:03"
"GILBERT SLEDGE","2006-02-14 15:16:03"
"RAFAEL ABNEY","2006-02-14 15:16:03"
"MILTON HOWLAND","2006-02-14 15:16:03"
"CECIL VINES","2006-02-14 15:16:03"
"ELMER NOE","2006-02-14 15:16:03"
"ROLAND SOUTH","2006-02-14 15:16:03"
"ADRIAN CLARY","2006-02-14 15:16:03"
"CORY MEEHAN","2006-02-14 15:16:03"
"DARRYL ASHCRAFT","2006-02-14 15:16:03"
"NEIL RENNER","2006-02-14 15:16:03"
"JESSIE MILAM","2006-02-14 15:16:03"
"CHRISTIAN JUNG","2006-02-14 15:16:03"
"CLINTON BUFORD","2006-02-14 15:16:03"
"ALLAN CORNISH","2006-02-14 15:16:03"
"GUY BROWNLEE","2006-02-14 15:16:03"
"FELIX GAFFNEY","2006-02-14 15:16:03"
"JORDAN ARCHULETA","2006-02-14 15:16:03"
"IAN STILL","2006-02-14 15:16:03"
"ALBERTO HENNING","2006-02-14 15:16:03"
"IVAN CROMWELL","2006-02-14 15:16:03"
"MORRIS MCCARTER","2006-02-14 15:16:03"
"DARYL LARUE","2006-02-14 15:16:03"
"ANDY VANHORN","2006-02-14 15:16:03"
"PERRY SWAFFORD","2006-02-14 15:16:03"
"SERGIO STANFIELD","2006-02-14 15:16:03"
"SETH HANNON","2006-02-14 15:16:03"
"TERRANCE ROUSH","2006-02-14 15:16:03"
"ENRIQUE FORSYTHE","2006-02-14 15:16:03"
"FREDDIE DUGGAN","2006-02-14 15:16:03"
